City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Avon Park,US,27.5959,-81.5062,84.9,65,94,22.15,overcast clouds
172,Khandyga,RU,62.6667,135.6,32.0,91,100,2.42,overcast clouds
173,Mount Gambier,AU,-37.8333,140.7667,48.92,89,52,5.77,broken clouds
174,Goure,NE,13.9835,10.2704,83.91,12,13,8.9,few clouds
175,Cairns,AU,-16.9167,145.7667,71.55,94,43,10.36,scattered clouds
176,Paciran,ID,-6.8767,112.3761,77.85,89,98,5.06,overcast clouds
177,Oborniki,PL,52.6474,16.8141,48.61,89,49,9.69,scattered clouds
178,Ponta Do Sol,PT,32.6667,-17.1,73.71,76,100,7.16,overcast clouds
179,Hasaki,JP,35.7333,140.8333,69.22,95,100,33.06,moderate rain
180,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,20,11.5,few clouds
181,Whitianga,NZ,-36.8333,175.7,63.54,93,100,22.24,overcast clouds
182,Ostrovnoy,RU,68.0531,39.5131,30.74,94,100,22.91,light snow
183,Kulachi,PK,31.9286,70.4592,77.07,45,80,3.8,broken clouds
184,Poltavka,RU,54.3663,71.7632,38.43,49,28,5.79,scattered clouds
185,Port Hardy,CA,50.6996,-127.4199,64.58,52,75,4.61,broken clouds
186,Narathiwat,TH,6.3333,101.75,75.92,92,93,3.13,overcast clouds
187,Hirara,JP,24.8,125.2833,73.26,94,75,13.8,broken clouds
188,Moissala,TD,8.3404,17.7663,79.21,64,95,1.36,light rain
189,Hay River,CA,60.8156,-115.7999,64.36,20,40,12.66,scattered clouds
190,Asyut,EG,27.181,31.1837,66.38,34,0,11.61,clear sky
191,Gogrial,SS,8.5332,28.1004,84.04,53,66,6.31,broken clouds
192,Evensk,RU,61.95,159.2333,22.68,84,36,2.98,scattered clouds
193,Maymyo,MM,22.0333,96.4667,72.12,40,53,0.18,broken clouds
194,Pangnirtung,CA,66.1451,-65.7125,32.09,96,100,2.82,overcast clouds
195,Lima,PE,-12.0432,-77.0282,75.45,69,40,11.5,scattered clouds
196,Smolyaninovo,RU,43.2956,132.4675,44.06,97,100,3.87,overcast clouds
197,Karpogory,RU,64.0019,44.4451,32.2,99,100,5.59,snow
198,Quatre Cocos,MU,-20.2078,57.7625,73.09,77,1,5.53,clear sky
199,Port Elizabeth,ZA,-33.918,25.5701,62.89,75,75,14.97,broken clouds
200,Tibacuy,CO,4.3511,-72.4564,77.47,84,100,4.43,overcast clouds
201,Boden,SE,65.8252,21.6886,33.8,98,100,2.89,overcast clouds
202,Bagh,IN,22.3667,74.7667,75.74,54,37,2.33,scattered clouds
203,Hami,CN,42.8,93.45,61.84,12,93,1.57,overcast clouds
204,Chapais,CA,49.7834,-74.8492,60.58,62,100,10.25,overcast clouds
205,Akdepe,TM,42.0551,59.3788,71.69,26,97,8.08,overcast clouds
206,Osoyoos,CA,49.0331,-119.4524,81.36,22,25,8.05,scattered clouds
207,Hailar,CN,49.2,119.7,32.18,75,52,8.99,broken clouds
208,Alofi,NU,-19.0595,-169.9187,80.49,69,87,18.41,overcast clouds
209,Kaitangata,NZ,-46.2817,169.8464,53.87,70,54,3.89,broken clouds
210,Cockburn Town,TC,21.4612,-71.1419,79.32,75,43,14.67,scattered clouds
211,Benicarlo,ES,40.4165,0.4271,67.89,84,99,5.59,overcast clouds
212,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,55,8.34,light rain
213,Pevek,RU,69.7008,170.3133,2.84,88,89,3.02,overcast clouds
214,Yeniseysk,RU,58.4497,92.1703,26.85,81,99,9.82,overcast clouds
215,Ayan,RU,56.45,138.1667,29.08,91,99,6.71,overcast clouds
216,Iralaya,HN,15.0,-83.2333,83.37,69,80,15.14,broken clouds
217,Lebu,CL,-37.6167,-73.65,54.07,84,99,12.06,overcast clouds
218,Poum,NC,-20.2333,164.0167,78.22,69,100,14.67,overcast clouds
219,Quang Ngai,VN,15.1167,108.8,73.53,93,34,3.47,scattered clouds
220,Tilichiki,RU,60.4667,166.1,14.41,81,41,7.31,scattered clouds
221,Taoudenni,ML,22.6783,-3.9836,94.75,6,0,6.44,clear sky
222,Leshukonskoye,RU,64.8989,45.7622,30.25,97,100,10.16,snow
223,Lompoc,US,34.6391,-120.4579,79.7,79,100,9.22,overcast clouds
224,Dikson,RU,73.5069,80.5464,26.42,94,99,16.13,light snow
225,Vila Velha,BR,-20.3297,-40.2925,73.35,94,75,5.75,broken clouds
226,Fare,PF,-16.7,-151.0167,81.43,79,30,11.05,light rain
227,Meridian,US,43.6121,-116.3915,84.33,21,0,4.61,clear sky
228,Clarence Town,AU,-32.5833,151.7833,60.85,84,21,9.6,few clouds
229,Lavrentiya,RU,65.5833,-171.0,19.11,83,99,9.62,overcast clouds
230,Klaksvik,FO,62.2266,-6.589,34.72,61,99,16.35,overcast clouds
231,Talnakh,RU,69.4865,88.3972,15.21,78,2,13.35,clear sky
232,Guerrero Negro,MX,27.9769,-114.0611,67.57,62,81,17.05,broken clouds
233,Ayagoz,KZ,47.9714,80.4392,54.64,57,57,8.95,broken clouds
234,Faanui,PF,-16.4833,-151.75,82.13,77,38,12.15,light rain
235,Grande Prairie,CA,55.1667,-118.8027,71.78,21,75,8.05,broken clouds
236,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,79.39,85,99,1.1,overcast clouds
237,Rabo De Peixe,PT,37.8,-25.5833,63.91,94,20,11.5,light rain
238,Vardo,NO,70.3705,31.1107,35.58,80,100,36.82,overcast clouds
239,Kismayo,SO,-0.3582,42.5454,80.65,80,94,9.35,overcast clouds
240,Upernavik,GL,72.7868,-56.1549,25.75,78,91,6.53,overcast clouds
241,Katsuura,JP,35.1333,140.3,69.82,95,100,31.59,overcast clouds
242,La Palma,US,33.8464,-118.0467,95.5,64,40,10.36,haze
243,Portales,US,34.1862,-103.3344,77.32,16,0,4.0,clear sky
244,Kodiak,US,57.79,-152.4072,44.11,61,0,8.05,clear sky
245,Mahebourg,MU,-20.4081,57.7,73.26,94,20,3.44,few clouds
246,Kalulushi,ZM,-12.8378,28.0919,55.58,74,89,2.82,overcast clouds
247,Qandala,SO,11.472,49.8728,85.96,70,23,5.32,few clouds
248,Beatrice,US,40.2681,-96.747,73.38,24,0,28.77,clear sky
249,Ust-Kuyga,RU,70.0167,135.6,25.48,90,100,1.43,overcast clouds
250,Ancud,CL,-41.8697,-73.8203,49.01,81,77,9.48,light rain
251,Mitsamiouli,KM,-11.3847,43.2844,80.69,71,89,8.72,overcast clouds
252,Plettenberg Bay,ZA,-34.0527,23.3716,60.33,73,83,7.49,broken clouds
253,Ferme-Neuve,CA,46.7001,-75.4493,46.22,86,100,15.32,overcast clouds
254,Dolores,AR,-36.3132,-57.6792,68.49,47,0,7.9,clear sky
255,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,46,0,11.5,clear sky
256,Batagay,RU,67.6333,134.6333,27.07,90,97,1.88,overcast clouds
257,Torbay,CA,47.6666,-52.7314,39.38,86,75,26.46,broken clouds
258,Thompson,CA,55.7435,-97.8558,50.16,37,40,4.61,scattered clouds
259,Hryshkivtsi,UA,49.9353,28.6038,40.64,72,60,3.94,broken clouds
260,Pa Sang,TH,18.5262,98.9394,84.4,58,10,0.92,clear sky
261,Chlorakas,CY,34.8042,32.4083,54.48,71,40,8.05,scattered clouds
262,Paamiut,GL,61.994,-49.6678,33.44,80,2,7.7,clear sky
263,Sao Filipe,CV,14.8961,-24.4956,74.79,77,1,3.8,clear sky
264,Bubaque,GW,11.2833,-15.8333,77.76,77,4,18.92,clear sky
265,Bonavista,CA,48.6499,-53.1147,33.13,84,45,26.15,scattered clouds
266,Saint Paul,US,44.9444,-93.0933,55.81,52,75,18.41,broken clouds
267,Sangar,RU,63.9242,127.4739,33.15,90,100,9.13,overcast clouds
268,Mandvi,IN,22.8333,69.3667,79.45,69,0,6.89,clear sky
269,Belaya Gora,RU,68.5333,146.4167,26.44,88,92,0.85,overcast clouds
270,Clyde River,CA,70.4692,-68.5914,23.23,93,100,13.8,overcast clouds
271,Nortelandia,BR,-14.4547,-56.8028,80.42,72,66,1.88,broken clouds
272,Huarmey,PE,-10.0681,-78.1522,78.42,75,60,9.33,broken clouds
273,Olafsvik,IS,64.8945,-23.7142,33.64,54,100,13.71,overcast clouds
274,Lao Cai,VN,22.4833,103.95,71.02,99,100,0.83,overcast clouds
